ID,Tweets,Labels
MA_YT001,Thaankal enthaan cheyyarullath?😛,NOT
MA_YT002,Ee theetam WCC feminichigalude news aarkk venam...kondupode...,OFF
MA_YT003,fukru nem tiktok oolakale vilich charcha nadathiyenekka..bedham aanh,OFF
MA_YT004,Aashiq abu produce cheytharunnel ee problems undakillarunnu.....,NOT
MA_YT005,Pennungal oru team aayal ath moonjum ennu epoo mansilayallo,OFF
MA_YT006,@USER po oru Rajithakku parayam ennal oru Renjithinu parayan pattila. Karanam athu appol purushadhipathyam ayi pokum,NOT
MA_YT007,@USER Ath kazhinju ulla sentence vayik,NOT
MA_YT008,@USER TL vere oru ss kandu.,NOT
MA_YT009,"@USER penninte peru paranj ,,,,soyam bodham polumillathe enthakeyo kaati kootunna kudumbathi pirakaatha poya kure alavalatjikal und ,athil oru teams aanu ivalumar,,,,,neeyum angne aano mole",OFF
MA_YT010,@USER ninte chanthik ente vaka orayiram umma,OFF
MA_YT011,@USER aaano arinjilla..pavam femichees😣😣,OFF
MA_YT012,@USER ningaldae oru avastha kashtam.... Sthrethvathinte peril... Udaip ayitt erangiyekaan....athe ithe mohanlalinte ethira ala motham oru kotam alkaruda melek ale adishepam ... Kashtam NADIMARE,OFF
MA_YT013,@USER Calicut ilas.. Athe enthina nadana nadan eland... Ente thengya enane vilikande....,NOT
MA_YT014,@USER ne oru kaaryma cheyy mohanlaline ninde ammak kettich kodukk ennat achaan vilik.....HASH💚❤️,OFF
MA_YT015,Nellarayude partner carrot um cucumber um thinnu maduthu  ?????? Firosikka pwoli,NOT
MA_YT016,@USER Nee ninte thallaye nattukarkk ookan kodukk Ninte thantha myran oombatte Aaa nayinte mole nattukarkk koduth Nee jeevikk thanthayillathavane,OFF
MA_YT017,Gulfil minaral waterilano meen kazukaan ??,NOT
MA_YT018,@USER thall illathe valarnna ninnod enth oarayan..ninappan etho poothine ooki indayathaan ne..allenkil mohanlala kore kallavedi vechappo ninde pezhacha thallayum pettindavum...thayyoli avande amede pootile mohanlal..phha kunna nintappande andi oomb poyi aadhyam enna mohanlalinde andi oomba......,OFF
MA_YT019,Businessil ithoke undakum,NOT
MA_YT020,@USER njan oombumeda iniyum oombum ninne pole swantham thallaye vittallalla nian jeevikkunne Swantgam thantha arenn ariyatha ninne polulla chempooranmarod nth parayana Oru manu vijayan Vijayan ninte thantha ano enn ninte thalla koothichiyod chodikkada Shikandi myra,OFF
MA_YT021,"@USER nee entjelum paray myre...ninde thanta annu closet vanam vitirunnenkil nee ipoo avidirun chelachene....ninde thallayum vedi nnoke parayunn a pennungal avar chooshanam cheyyapetta vivaram parayumbo ninak kalinde edayi thoongiyaadunna a 4 inch sadhanathin ithra kazhapp....eda myraa..ninde thallaye orutha kunichu niruthi andi vayel vech koduthunnu veetil vannnu parayumbo nee enth cheyyum....""mohanlal ano amme oombichath haavu ashwaasamayi"" ennu parayumoda thallaye ooki jeevikkunavane..",OFF
MA_YT022,@USER ninte thanthakk andikk urappillathath kondalle ninte thallaye nattukar menj nee enna kazhuveri undayath. Ninte thalla koothichiye paranjitt karyamilla. Avarum oru penn alle avarkkum kazhapp undakille Ninte thantha enn ner vilikkunna vijayan myrane an adyam parayandath By the by mohanlal ninte kundi keeriyo machinga myra Allenkil mohanalal ano ninte thallaye oombipich kadann kalanjath,OFF
MA_YT023,@USER ninde thallede number onnu theruo...ante pattik ookan kodukkana..allenkil kannimaasam avumbo thanna mathi...pattyde vanthin ninak njn oru aniyane theram......🥰,OFF
MA_YT024,@USER nintammene kootit ingot va. Ennit ne maari nikk. Eda thayoli youtubil Vann verthe theri vilich ninte thanthayude swabavam kanikkalle. Onn paranj randamath theri vili. Ithokke ninte thallayodum thanthayodum edtha mathi.,OFF
MA_YT025,@USER poda venne...🥰 amma thooriyapoo therich poyavane.,OFF
